rosbagTimestamp,seq,secs,nsecs,frame_id,airspeed,groundspeed,heading,throttle,altitude,climb,normality
1.57407E+18,52,1574069785,656874034,'',0.37500003,0.170207381,62,0,655.0700073,-0.057703737,1
1.57407E+18,53,1574069785,892816538,'',0.236000016,0.151166201,62,0,655.0499878,-0.062342215,1
1.57407E+18,54,1574069786,129603921,'',0.325000018,0.124993093,62,0,655.039978,-0.065043211,1
1.57407E+18,55,1574069786,376428803,'',0.181000009,0.105153605,62,0,655.0199585,-0.067892246,1
1.57407E+18,56,1574069786,612417785,'',0.262000024,0.093997486,62,0,655.0100098,-0.070332631,1
1.57407E+18,57,1574069786,859773159,'',0.021000002,0.086397417,62,0,655,-0.071337491,1
1.57407E+18,58,1574069787,95043917,'',0.302000016,0.075880773,62,0,654.9899902,-0.074993253,1
1.57407E+18,59,1574069787,337223774,'',0.268000007,0.064637728,62,0,654.9699707,-0.078904256,1
1.57407E+18,60,1574069787,579099912,'',0.458000034,0.056922324,62,0,654.9599609,-0.080027148,1
1.57407E+18,61,1574069787,828327033,'',0.279000014,0.06298238,62,0,654.9500122,-0.079386413,1
1.57407E+18,62,1574069788,57342585,'',0.200000003,0.066283345,62,0,654.9500122,-0.079246521,1
1.57407E+18,63,1574069788,296422291,'',0.261000007,0.055946872,62,0,654.9400024,-0.078915671,1
1.57407E+18,64,1574069788,542635647,'',0.040000003,0.039217938,62,0,654.9500122,-0.076885924,1
1.57407E+18,65,1574069788,779623687,'',0.050000001,0.032142658,62,0,654.9400024,-0.073935188,1
1.57407E+18,66,1574069789,10782990,'',0.087000005,0.026178522,62,0,654.9299927,-0.073656917,1
1.57407E+18,67,1574069789,262763539,'',0.081,0.024364065,62,0,654.9299927,-0.073064551,1
1.57407E+18,68,1574069789,490905111,'',0.154000014,0.032478452,62,0,654.9299927,-0.071332462,1
1.57407E+18,69,1574069789,740402204,'',0.259000003,0.038028114,62,0,654.9299927,-0.069222324,1
1.57407E+18,70,1574069789,977737169,'',0.105000004,0.033911556,62,0,654.9299927,-0.069369353,1
1.57407E+18,71,1574069790,214655110,'',0.296000004,0.043829355,62,0,654.9299927,-0.068818599,1
1.57407E+18,72,1574069790,469348101,'',0.334000021,0.045025151,62,0,654.9299927,-0.066166036,1
1.57407E+18,73,1574069790,699439836,'',0.244000018,0.035291314,62,0,654.9299927,-0.065787002,1
1.57407E+18,74,1574069790,939937853,'',0.380000025,0.032988146,62,0,654.9299927,-0.066567041,1
1.57407E+18,75,1574069791,184140130,'',0.222000018,0.025042407,62,0,654.9199829,-0.066590026,1
1.57407E+18,76,1574069791,421627802,'',0.179000005,0.02312411,62,0,654.9199829,-0.067327186,1
1.57407E+18,77,1574069791,651228952,'',0.048,0.024253935,62,0,654.9199829,-0.064209633,1
1.57407E+18,78,1574069791,887902455,'',0.104000002,0.02481926,62,0,654.9299927,-0.062883221,1
1.57407E+18,79,1574069792,141399650,'',0.114000008,0.035257373,62,0,654.9299927,-0.06125411,1
1.57407E+18,80,1574069792,378933062,'',0.096000001,0.039919116,62,0,654.9299927,-0.060662512,1
1.57407E+18,81,1574069792,607012821,'',0.098000005,0.051322017,62,0,654.9400024,-0.059812792,1
1.57407E+18,82,1574069792,867586489,'',0.046000004,0.058729518,62,0,654.9400024,-0.056893632,1
1.57407E+18,83,1574069793,104991756,'',0.164000005,0.068280399,62,0,654.9500122,-0.053918749,1
1.57407E+18,84,1574069793,326316895,'',0.24000001,0.071706839,62,0,654.9599609,-0.053279575,1
1.57407E+18,85,1574069793,575780328,'',0.155000001,0.067059256,62,0,654.9699707,-0.050942872,1
1.57407E+18,86,1574069793,819521638,'',0.450000018,0.083100565,62,0,654.9799805,-0.047719713,1
1.57407E+18,87,1574069794,103363568,'',0.135000005,0.115572333,62,0,655.0100098,-0.043519869,1
1.57407E+18,88,1574069794,434121534,'',0.079000004,0.122547701,62,0,655.0299683,-0.038503889,1
1.57407E+18,89,1574069794,725979196,'',0.188000008,0.115379043,62,0,655.039978,-0.034411676,1
1.57407E+18,90,1574069795,56450068,'',0.349000007,0.10063988,62,0,655.0499878,-0.031669609,1
1.57407E+18,91,1574069795,373518468,'',0.091000006,0.079750821,62,0,655.0599976,-0.029992275,1
1.57407E+18,92,1574069795,688715692,'',0.147,0.082661405,62,0,655.0899658,-0.025365857,1
1.57407E+18,93,1574069795,999110050,'',0.034000002,0.092732243,62,0,655.0999756,-0.023748176,1
1.57407E+18,94,1574069796,315499308,'',0.428000033,0.108520202,62,0,655.0999756,-0.024437262,1
1.57407E+18,95,1574069796,631241374,'',0.324000001,0.145907342,62,0,655.1199951,-0.020096721,1
1.57407E+18,96,1574069796,935277092,'',0.384000003,0.180685759,62,0,655.1300049,-0.01710221,1
1.57407E+18,97,1574069797,231207621,'',0.408000022,0.213950843,62,0,655.1499634,-0.014326374,1
1.57407E+18,98,1574069797,559970399,'',0.370000005,0.230637595,62,0,655.1699829,-0.009169409,1
1.57407E+18,99,1574069797,894992192,'',0.150000006,0.234625086,62,0,655.1799927,-0.005751708,1
1.57407E+18,100,1574069798,188135750,'',0.117000006,0.234322757,62,0,655.1799927,-0.005903705,1
1.57407E+18,101,1574069798,531017353,'',0.611000001,0.222324386,62,0,655.1799927,-0.007859596,1
1.57407E+18,102,1574069798,847069096,'',0.162,0.206347644,62,0,655.1799927,-0.009120712,1
1.57407E+18,103,1574069799,183502760,'',0.256999999,0.194857374,62,0,655.1799927,-0.010362582,1
1.57407E+18,104,1574069799,490409971,'',0.404000014,0.180895448,62,0,655.1699829,-0.013899833,1
1.57407E+18,105,1574069799,770402306,'',0.094000004,0.162373185,62,0,655.1599731,-0.018914768,1
1.57407E+18,106,1574069800,70207743,'',0.376000017,0.141892731,62,0,655.1499634,-0.023718461,1
1.57407E+18,107,1574069800,372001345,'',0.431000024,0.136665523,62,0,655.1400146,-0.028716877,1
1.57407E+18,108,1574069800,712446047,'',0.183000013,0.14762187,62,0,655.1300049,-0.02850542,1
1.57407E+18,109,1574069801,37793127,'',0.333000004,0.149114072,62,0,655.1199951,-0.030267239,1
1.57407E+18,110,1574069801,294859069,'',0.231000006,0.148107022,62,0,655.1199951,-0.029619504,1
1.57407E+18,111,1574069801,570252348,'',0.027000001,0.147128254,62,0,655.1300049,-0.029309452,1
1.57407E+18,112,1574069801,883557471,'',0.337000012,0.136372536,62,0,655.1400146,-0.027448433,1
1.57407E+18,113,1574069802,190792771,'',0.134000003,0.13658458,62,0,655.1400146,-0.027254554,1
1.57407E+18,114,1574069802,533797806,'',0.234000012,0.126597762,62,0,655.1499634,-0.026119478,1
1.57407E+18,115,1574069802,814806201,'',0.150000006,0.115924232,62,0,655.1599731,-0.025505682,1
1.57407E+18,116,1574069803,134943130,'',0.214000016,0.098491624,62,0,655.1599731,-0.026961761,1
1.57407E+18,117,1574069803,428955991,'',0.109000005,0.078160338,62,0,655.1499634,-0.029199444,1
1.57407E+18,118,1574069803,690171224,'',0.308000028,0.066355333,62,0,655.1400146,-0.032204527,1
1.57407E+18,119,1574069803,982926283,'',0.413000017,0.08807072,62,0,655.1300049,-0.038638785,1
1.57407E+18,120,1574069804,323129147,'',0.294,0.083601616,62,0,655.1099854,-0.040351596,1
1.57407E+18,121,1574069804,663725214,'',0.168000013,0.066965781,62,0,655.1199951,-0.038563736,1
1.57407E+18,122,1574069804,996734096,'',0.128000006,0.059469171,62,0,655.1199951,-0.038357966,1
1.57407E+18,123,1574069805,243557539,'',0.181000009,0.054752748,62,0.050000001,655.1199951,-0.037202694,1
1.57407E+18,124,1574069805,544489386,'',0.389000028,0.071220934,62,0.180000007,655.1099854,-0.03868223,1
1.57407E+18,125,1574069805,843883139,'',0.504000008,0.137078509,62,0.280000001,655.0999756,0.004270089,1
1.57407E+18,126,1574069806,203651644,'',0.537,0.114811599,65,0.379999995,655.1199951,0.093594983,1
1.57407E+18,127,1574069806,529522317,'',0.216000006,0.146069601,64,0.449999988,655.1599731,0.213171527,1
1.57407E+18,128,1574069806,823481696,'',1.372000098,0.154918924,65,0.560000002,655.2299805,0.176493645,1
1.57407E+18,129,1574069807,249440522,'',0.664000034,0.047884803,65,0.689999998,655.2999878,0.197905019,1
1.57407E+18,130,1574069807,546327228,'',0.173000008,0.062650897,64,0.810000002,655.3699951,0.217404619,1
1.57407E+18,131,1574069807,883060689,'',0.154000014,0.074681558,65,0.860000014,655.4400024,0.204008132,1
1.57407E+18,132,1574069808,183850492,'',0.216000006,0.062334009,66,0.870000005,655.4899902,0.151869982,1
1.57407E+18,133,1574069808,503380019,'',0.306000024,0.04637735,70,0.899999976,655.5,0.033055279,1
1.57407E+18,134,1574069808,843439455,'',0.127000004,0.022821046,72,0.889999986,655.5,0.034547169,1
1.57407E+18,135,1574069809,161104138,'',0.36500001,0.038872462,71,0.889999986,655.5100098,0.054857004,1
1.57407E+18,136,1574069809,463024897,'',0.655000031,0.054378182,69,0.939999998,655.5299683,0.025529897,1
1.57407E+18,137,1574069809,829714514,'',0.299000025,0.041313633,69,0.99000001,655.5499878,-0.001445257,1
1.57407E+18,138,1574069810,65438839,'',0.653000057,0.043517709,69,1,655.5599976,-0.013544998,1
1.57407E+18,139,1574069810,385214801,'',0.366000026,0.026387986,71,1,655.5599976,-0.039837629,1
1.57407E+18,140,1574069810,669001831,'',0.103000008,0.078410305,71,1,655.5799561,-0.032409467,1
1.57407E+18,141,1574069811,17707844,'',0.271000028,0.103939705,69,1,655.5799561,-0.067506589,1
1.57407E+18,142,1574069811,303619454,'',0.343000025,0.142157584,67,1,655.6099854,-0.026338868,1
1.57407E+18,143,1574069811,603699643,'',0.115000002,0.163458616,67,1,655.6499634,-0.025542814,1
1.57407E+18,144,1574069811,902600692,'',0.552000046,0.184159264,67,0.970000029,655.7099609,0.073406227,1
1.57407E+18,145,1574069812,224099992,'',0.244000018,0.188494653,67,0.949999988,655.789978,0.091088608,1
1.57407E+18,146,1574069812,562868151,'',0.812000036,0.172431439,66,0.920000017,655.8999634,0.119988561,1
1.57407E+18,147,1574069812,925889988,'',0.165000007,0.105694883,66,0.889999986,656.0100098,0.096821643,1
1.57407E+18,148,1574069813,223650980,'',0.041000001,0.096480303,67,0.860000014,656.0999756,0.140584171,1
1.57407E+18,149,1574069813,544905466,'',0.529000044,0.074591987,66,0.850000024,656.2099609,0.102209419,1
1.57407E+18,150,1574069813,877448264,'',0.453000009,0.111514717,66,0.839999974,656.2799683,0.049211487,1
1.57407E+18,151,1574069814,163128169,'',0.403000027,0.056352876,68,0.810000002,656.3299561,0.100091927,1
1.57407E+18,152,1574069814,502899590,'',0.409000009,0.045232702,69,0.810000002,656.4199829,0.062121462,1
1.57407E+18,153,1574069814,866139044,'',0.221000016,0.111038677,69,0.810000002,656.4799805,-0.003821257,1
1.57407E+18,154,1574069815,103256913,'',0.050000001,0.059374437,72,0.779999971,656.5199585,0.031005234,1
1.57407E+18,155,1574069815,363896322,'',0.141000003,0.042381193,69,0.800000012,656.5700073,0.050748531,1
1.57407E+18,156,1574069815,624370566,'',0.464000016,0.058002498,70,0.800000012,656.6300049,0.024484523,1
1.57407E+18,157,1574069815,884106186,'',0.047000002,0.040208664,69,0.800000012,656.6799927,-0.010924079,1
1.57407E+18,158,1574069816,222805840,'',0.052000001,0.045263346,68,0.800000012,656.7099609,-0.060388543,1
1.57407E+18,159,1574069816,469251538,'',0.050000001,0.128142864,67,0.800000012,656.7199707,-0.07107576,1
1.57407E+18,160,1574069816,730795172,'',0.209000006,0.116406396,66,0.790000021,656.7299805,0.013255426,1
1.57407E+18,161,1574069817,18826554,'',0.157000005,0.151463568,67,0.790000021,656.75,0.017364718,1
1.57407E+18,162,1574069817,258311308,'',0.158000007,0.159936652,69,0.769999981,656.7799683,0.052257985,1
1.57407E+18,163,1574069817,511392051,'',0.078000002,0.159549892,70,0.779999971,656.8099976,0.011691784,1
1.57407E+18,164,1574069817,771173132,'',0.244000018,0.172085255,70,0.790000021,656.8299561,-0.022408169,1
1.57407E+18,165,1574069818,43640285,'',0.235000014,0.248271123,68,0.790000021,656.8399658,-0.040377934,1
1.57407E+18,166,1574069818,323694259,'',0.156000003,0.147562161,68,0.790000021,656.8299561,-0.043890994,1
1.57407E+18,167,1574069818,636543464,'',0.042000003,0.014881517,67,0.779999971,656.8399658,-0.016511628,1
1.57407E+18,168,1574069818,913661965,'',0.071000002,0.045209337,67,0.779999971,656.8399658,-0.02396328,1
1.57407E+18,169,1574069819,171471370,'',0.122000009,0.05469019,67,0.779999971,656.8399658,-0.026986782,1
1.57407E+18,170,1574069819,443969751,'',0.235000014,0.119926758,66,0.790000021,656.8399658,-0.03163192,1
1.57407E+18,171,1574069819,702861846,'',0.252000004,0.248832271,64,0.790000021,656.8399658,-0.039815694,1
1.57407E+18,172,1574069819,963351327,'',0.059000004,0.296283156,63,0.779999971,656.8399658,-0.009229581,1
1.57407E+18,173,1574069820,244185844,'',0.148000002,0.221128494,62,0.779999971,656.8399658,-0.009166151,1
1.57407E+18,174,1574069820,507698406,'',0.320000023,0.069663212,62,0.800000012,656.8399658,-0.059260882,1
1.57407E+18,175,1574069820,849582283,'',0.315000027,0.112759054,61,0.779999971,656.8399658,-0.029776938,1
1.57407E+18,176,1574069821,90709148,'',0.344000012,0.232755259,60,0.800000012,656.8299561,-0.067362845,1
1.57407E+18,177,1574069821,324389933,'',0.594000041,0.322584629,60,0.779999971,656.8099976,-0.014113725,1
1.57407E+18,178,1574069821,582978458,'',0.461000025,0.298705071,60,0.810000002,656.789978,-0.052027762,1
1.57407E+18,179,1574069821,907305667,'',0.376000017,0.169368178,62,0.819999993,656.7799683,-0.0665714,1
1.57407E+18,180,1574069822,188055976,'',0.220000014,0.158928201,63,0.810000002,656.7600098,-0.061254997,1
1.57407E+18,181,1574069822,452935732,'',0.146000013,0.197472185,62,0.819999993,656.75,-0.053831559,1
1.57407E+18,182,1574069822,706301647,'',0.215000004,0.227466345,61,0.810000002,656.7399902,-0.027431292,1
1.57407E+18,183,1574069822,972135071,'',0.21800001,0.224746943,60,0.829999983,656.7199707,-0.078081675,1
1.57407E+18,184,1574069823,265460086,'',0.207000017,0.171259254,59,0.829999983,656.6900024,-0.06689287,1
1.57407E+18,185,1574069823,540407065,'',0.117000006,0.230978787,59,0.829999983,656.6799927,-0.056395248,1
1.57407E+18,186,1574069823,789467653,'',0.098000005,0.231394038,60,0.850000024,656.6499634,-0.087324522,1
1.57407E+18,187,1574069824,48470267,'',0.346000016,0.258386582,61,0.860000014,656.6300049,-0.091965072,1
1.57407E+18,188,1574069824,320393863,'',0.332000017,0.268097281,62,0.860000014,656.5999756,-0.106455028,1
1.57407E+18,189,1574069824,567453998,'',0.291000009,0.213329613,61,0.870000005,656.5799561,-0.106118686,1
1.57407E+18,190,1574069824,843732722,'',0.333000004,0.160225719,61,0.870000005,656.5700073,-0.094355538,1
1.57407E+18,191,1574069825,103386439,'',0.360000014,0.108198233,60,0.879999995,656.5499878,-0.116729088,1
1.57407E+18,192,1574069825,394002993,'',0.470000029,0.086738326,60,0.889999986,656.5199585,-0.113352902,1
1.57407E+18,193,1574069825,669014867,'',0.960000038,0.104919821,61,0.899999976,656.4899902,-0.12946406,1
1.57407E+18,194,1574069825,935604770,'',0.089000002,0.108197063,61,0.920000017,656.4400024,-0.136661842,1
1.57407E+18,195,1574069826,183374101,'',0.451000035,0.157219306,62,0.920000017,656.4099731,-0.134005383,1
1.57407E+18,196,1574069826,470174491,'',0.161000013,0.130070269,61,0.939999998,656.3800049,-0.156597853,1
1.57407E+18,197,1574069826,722988241,'',0.220000014,0.068140358,61,0.939999998,656.3399658,-0.147267312,1
1.57407E+18,198,1574069827,44691609,'',0.775000036,0.053922292,61,0.959999979,656.289978,-0.153307989,1
1.57407E+18,199,1574069827,344029286,'',0.139000013,0.133167133,61,0.970000029,656.2399902,-0.158183962,1
1.57407E+18,200,1574069827,568706228,'',0.17400001,0.125180006,61,0.980000019,656.2099609,-0.171763167,1
1.57407E+18,201,1574069827,823332699,'',0.266000003,0.102167353,60,1,656.1699829,-0.19408603,1
1.57407E+18,202,1574069828,119857423,'',0.408000022,0.066539772,58,1,656.1300049,-0.173815668,1
1.57407E+18,203,1574069828,368868122,'',0.255000025,0.021700127,58,1,656.0799561,-0.189207479,1
1.57407E+18,204,1574069828,634456240,'',0.187000006,0.017988119,60,1,656.0499878,-0.228257731,1
1.57407E+18,205,1574069828,883152009,'',0.356000006,0.018383317,61,1,656,-0.235381812,1
1.57407E+18,206,1574069829,148232351,'',0.537,0.035440102,61,1,655.9599609,-0.244630486,1
1.57407E+18,207,1574069829,424665834,'',0.594000041,0.150688767,60,1,655.9299927,-0.253877342,1
1.57407E+18,208,1574069829,713206848,'',0.168000013,0.326170266,61,1,655.8999634,-0.274413139,1
1.57407E+18,209,1574069829,963930693,'',0.422000021,0.3989999,61,1,655.8699951,-0.297610044,1
1.57407E+18,210,1574069830,223385194,'',0.453000009,0.352386028,62,1,655.8599854,-0.245998919,1
1.57407E+18,211,1574069830,483586285,'',0.220000014,0.286522299,62,1,655.8499756,-0.262042612,1
1.57407E+18,212,1574069830,795036183,'',0.498000026,0.195277601,62,1,655.8599854,-0.249275282,1
